Ref,Val,Package,PosX,PosY,Rot,Side
"","","",335.500000,-167.500000,0.000000,top
"","","",346.500000,-249.000000,90.000000,top
"","","",346.500000,-316.500000,90.000000,top
"","","",335.500000,-170.500000,0.000000,top
"","","",346.500000,-319.500000,90.000000,top
"","","",346.500000,-252.500000,90.000000,top
"","","",335.500000,-173.500000,0.000000,top
"","","",342.000000,-211.500000,0.000000,top
"BZ1","Buzzer","Buzzer_12x9.5RM7.6",362.000000,-324.000000,180.000000,top
"C1","C","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",378.800000,-201.062500,90.000000,top
"C2","C_Polarized","CP_Radial_D10.0mm_P2.50mm_P5.00mm",378.900000,-210.670937,90.000000,top
"C3","C","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",385.300000,-215.862500,-90.000000,top
"C4","C_Polarized","CP_Radial_D10.0mm_P2.50mm_P5.00mm",378.900000,-221.670937,90.000000,top
"C5","0.1uF","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",387.000000,-334.500000,90.000000,top
"C6","C","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",356.450000,-212.000000,0.000000,top
"C7","C","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",369.950000,-212.000000,0.000000,top
"C8","C","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",352.450000,-171.000000,0.000000,top
"C9","C","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",362.450000,-171.000000,0.000000,top
"C10","C","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",370.000000,-171.000000,0.000000,top
"C11","C","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",377.344484,-170.740532,0.000000,top
"C12","C","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",356.450000,-192.000000,0.000000,top
"C13","C","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",369.500000,-192.000000,0.000000,top
"C14","C","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",358.000000,-286.450000,-90.000000,top
"C15","C_Polarized","CP_Radial_D10.0mm_P2.50mm_P5.00mm",356.400000,-279.170937,90.000000,top
